1-1-"a"-"Jan 16 2017, 19:23:38"-"1 - 2 - 2 - 3 - 4"
2-1-"b"-"Jan 07 2017, 15:17:36"-"1 - 2 - 4 - 2 - 2"
3-1-"c"-"Feb 03 2017, 16:06:01"-"2 - 1 - 2 - 3 - 2"
4-1-"d"-"Jan 24 2017, 19:28:47"-"3 - 1 - 2 - 2 - 2"
5-2-"a"-"Jan 13 2017, 19:57:19"-"3 - 2 - 4 - 3 - 2"
6-2-"b"-"Jan 03 2017,  2:53:25"-"4 - 2 - 4 - 3 - 4"
7-2-"c"-"Jan 26 2017, 21:18:59"-"2 - 2 - 4 - 3 - 3"
8-2-"d"-"Jan 31 2017, 10:16:55"-"2 - 3 - 3 - 2 - 3"
9-3-"a"-"Jan 17 2017, 11:36:34"-"3 - 1 - 3 - 2 - 2"
10-3-"b"-"Jan 13 2017,  4:58:30"-"4 - 2 - 3 - 3 - 1"
11-3-"c"-"Jan 08 2017, 18:33:08"-"2 - 1 - 2 - 3 - 2"
12-3-"d"-"Feb 09 2017, 11:10:38"-"1 - 1 - 2 - 2 - 1"
13-4-"a"-"Feb 05 2017, 15:45:10"-"3 - 3 - 2 - 2 - 3"
14-4-"b"-"Feb 09 2017,  7:05:40"-"2 - 3 - 3 - 3 - 0"
15-4-"c"-"Jan 31 2017, 15:44:12"-"3 - 2 - 2 - 3 - 4"
16-4-"d"-"Feb 02 2017, 15:51:17"-"2 - 3 - 3 - 2 - 1"
17-5-"a"-"Jan 12 2017,  7:25:01"-"2 - 1 - 2 - 3 - 2"
18-5-"b"-"Jan 25 2017, 23:33:07"-"2 - 2 - 3 - 3 - 2"
19-5-"c"-"Jan 10 2017,  5:17:58"-"2 - 2 - 2 - 3 - 2"
20-5-"d"-"Feb 27 2017,  8:46:44"-"1 - 2 - 1 - 3 - 2"
21-6-"a"-"Feb 02 2017,  3:19:56"-"3 - 2 - 4 - 2 - 2"
22-6-"b"-"Jan 10 2017,  4:05:29"-"4 - 3 - 2 - 2 - 2"
23-6-"c"-"Feb 14 2017, 23:15:55"-"3 - 3 - 3 - 4 - 4"
24-6-"d"-"Jan 26 2017, 16:17:58"-"2 - 1 - 4 - 4 - 4"
25-7-"a"-"Jan 30 2017, 21:52:39"-"3 - 2 - 3 - 3 - 4"
26-7-"b"-"Jan 16 2017,  4:59:25"-"4 - 1 - 4 - 3 - 3"
27-7-"c"-"Feb 01 2017, 16:46:31"-"5 - 2 - 2 - 2 - 3"
28-7-"d"-"Dec 31 2016,  7:25:24"-"2 - 3 - 3 - 2 - 3"
