1-1-"a"-"Feb 21 2017, 23:42:38"-"2 - 2 - 2 - 2 - 3"
2-1-"b"-"Feb 16 2017, 13:04:24"-"2 - 2 - 3 - 2 - 3"
3-1-"c"-"Jan 17 2017, 17:05:05"-"1 - 3 - 3 - 1 - 3"
4-1-"d"-"Jan 25 2017,  6:05:39"-"2 - 3 - 2 - 2 - 1"
5-2-"a"-"Jan 17 2017, 11:35:00"-"3 - 3 - 2 - 3 - 1"
6-2-"b"-"Jan 23 2017, 16:34:29"-"2 - 2 - 3 - 2 - 2"
7-2-"c"-"Feb 06 2017, 18:24:08"-"2 - 2 - 2 - 4 - 2"
8-2-"d"-"Feb 22 2017, 20:02:44"-"2 - 1 - 3 - 3 - 3"
9-3-"a"-"Jan 31 2017,  6:16:55"-"3 - 1 - 2 - 1 - 3"
10-3-"b"-"Jan 20 2017, 23:45:47"-"2 - 2 - 2 - 1 - 2"
11-3-"c"-"Jan 29 2017, 15:00:22"-"3 - 2 - 2 - 3 - 2"
12-3-"d"-"Jan 11 2017,  4:41:11"-"1 - 1 - 2 - 2 - 3"
13-4-"a"-"Jan 16 2017,  9:02:24"-"2 - 1 - 2 - 2 - 2"
14-4-"b"-"Jan 09 2017, 13:25:15"-"2 - 1 - 2 - 3 - 3"
15-4-"c"-"Jan 08 2017, 22:19:30"-"3 - 2 - 2 - 4 - 3"
16-4-"d"-"Feb 02 2017, 13:31:35"-"3 - 2 - 2 - 3 - 2"
17-5-"a"-"Jan 10 2017, 11:08:22"-"3 - 3 - 2 - 3 - 3"
18-5-"b"-"Feb 08 2017,  1:39:28"-"2 - 2 - 4 - 3 - 2"
19-5-"c"-"Jan 15 2017,  6:06:05"-"3 - 2 - 3 - 2 - 2"
20-5-"d"-"Jan 19 2017, 14:29:59"-"2 - 2 - 2 - 2 - 3"
21-6-"a"-"Jan 16 2017, 15:22:18"-"3 - 1 - 3 - 3 - 3"
22-6-"b"-"Jan 31 2017, 22:53:45"-"2 - 3 - 3 - 3 - 3"
23-6-"c"-"Feb 06 2017, 20:16:37"-"3 - 2 - 3 - 2 - 3"
24-6-"d"-"Feb 19 2017,  0:04:56"-"3 - 2 - 2 - 3 - 3"
25-7-"a"-"Feb 14 2017, 21:04:05"-"1 - 1 - 3 - 1 - 4"
26-7-"b"-"Feb 03 2017,  4:01:42"-"3 - 2 - 3 - 4 - 3"
27-7-"c"-"Jan 29 2017, 11:54:40"-"3 - 3 - 1 - 2 - 2"
28-7-"d"-"Jan 26 2017,  2:07:59"-"2 - 2 - 2 - 3 - 2"
29-8-"a"-"Mar 04 2017,  2:43:17"-"3 - 3 - 3 - 3 - 3"
30-8-"b"-"Jan 30 2017,  4:41:38"-"1 - 2 - 1 - 2 - 2"
31-8-"c"-"Jan 08 2017,  0:30:53"-"3 - 2 - 1 - 3 - 2"
32-8-"d"-"Jan 08 2017,  2:59:58"-"2 - 2 - 2 - 1 - 3"
33-9-"a"-"Jan 23 2017,  9:49:33"-"2 - 1 - 2 - 2 - 3"
34-9-"b"-"Jan 19 2017, 18:41:38"-"3 - 2 - 3 - 0 - 2"
35-9-"c"-"Feb 08 2017, 16:28:29"-"3 - 0 - 3 - 1 - 4"
36-9-"d"-"Feb 06 2017, 10:51:47"-"1 - 3 - 3 - 2 - 2"
37-10-"a"-"Jan 23 2017,  4:17:48"-"4 - 2 - 3 - 3 - 3"
38-10-"b"-"Feb 06 2017,  7:54:57"-"3 - 2 - 3 - 4 - 4"
39-10-"c"-"Feb 01 2017, 23:05:32"-"3 - 1 - 3 - 4 - 3"
40-10-"d"-"Jan 18 2017, 10:21:21"-"2 - 1 - 2 - 4 - 3"
41-11-"a"-"Jan 16 2017, 18:56:44"-"3 - 3 - 2 - 3 - 2"
42-11-"b"-"Jan 27 2017,  2:51:49"-"3 - 1 - 2 - 2 - 2"
43-11-"c"-"Jan 28 2017, 12:32:17"-"3 - 2 - 4 - 3 - 1"
44-11-"d"-"Jan 21 2017,  1:18:46"-"3 - 2 - 4 - 3 - 3"
45-12-"a"-"Jan 26 2017, 20:26:47"-"4 - 3 - 3 - 2 - 2"
46-12-"b"-"Jan 28 2017, 13:53:41"-"3 - 1 - 3 - 3 - 3"
47-12-"c"-"Feb 02 2017,  0:58:40"-"4 - 2 - 3 - 3 - 4"
48-12-"d"-"Jan 21 2017,  3:30:21"-"2 - 2 - 3 - 3 - 3"
49-13-"a"-"Jan 06 2017,  9:36:36"-"3 - 3 - 3 - 2 - 2"
50-13-"b"-"Feb 12 2017, 23:33:27"-"2 - 1 - 3 - 2 - 2"
51-13-"c"-"Jan 10 2017,  6:05:30"-"3 - 2 - 3 - 2 - 3"
52-13-"d"-"Jan 21 2017, 21:16:45"-"3 - 2 - 2 - 2 - 2"
53-14-"a"-"Jan 26 2017, 18:44:03"-"3 - 2 - 1 - 2 - 3"
54-14-"b"-"Feb 03 2017,  6:04:46"-"3 - 2 - 3 - 3 - 2"
55-14-"c"-"Jan 28 2017, 13:32:53"-"2 - 2 - 2 - 2 - 2"
56-14-"d"-"Feb 08 2017, 12:01:02"-"2 - 2 - 2 - 2 - 3"
57-15-"a"-"Feb 19 2017,  9:58:20"-"2 - 2 - 3 - 4 - 2"
